Peakdeaths,Date,State Name
159.0,2023-05-01,Alabama
51.0,2023-12-01,Alaska
372.0,2023-07-01,Arizona
70.0,2022-03-01,Arkansas
1105.0,2023-07-01,California
181.0,2021-08-01,Colorado
149.0,2021-07-01,Connecticut
62.0,2022-05-01,Delaware
49.0,2020-05-01,District of Columbia
760.0,2020-05-01,Florida
268.0,2023-03-01,Georgia
42.0,2023-08-01,Hawaii
44.0,2022-01-01,Idaho
405.0,2020-05-01,Illinois
267.0,2021-09-01,Indiana
58.0,2021-12-01,Iowa
77.0,2021-08-01,Kansas
249.0,2020-05-01,Kentucky
240.0,2021-07-01,Louisiana
71.0,2022-12-01,Maine
278.0,2020-10-01,Maryland
253.0,2022-10-01,Massachusetts
326.0,2020-05-01,Michigan
138.0,2021-08-01,Minnesota
85.0,2021-04-01,Mississippi
213.0,2023-03-01,Missouri
26.0,2021-05-01,Montana
35.0,2021-08-01,Nebraska
153.0,2023-07-01,Nevada
49.0,2021-12-01,New Hampshire
303.0,2022-01-01,New Jersey
106.0,2021-08-01,New Mexico
605.0,2023-04-01,New York
432.0,2023-05-01,North Carolina
19.0,2022-12-01,North Dakota
591.0,2020-05-01,Ohio
132.0,2023-05-01,Oklahoma
189.0,2023-07-01,Oregon
550.0,2021-05-01,Pennsylvania
50.0,2021-05-01,Rhode Island
221.0,2023-03-01,South Carolina
17.0,2022-09-01,South Dakota
365.0,2022-12-01,Tennessee
589.0,2023-08-01,Texas
78.0,2021-04-01,Utah
35.0,2022-07-01,Vermont
254.0,2021-03-01,Virginia
334.0,2022-12-01,Washington
164.0,2020-05-01,West Virginia
191.0,2022-01-01,Wisconsin
15.0,2021-11-01,Wyoming
